,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-547661315.86,-1151131017.88,-373754012.85,-424226210.61
Repayment Of Debt,-871477767.2,-540889543.86,-390113615.58,-121202300.0
Issuance Of Debt,1078858388.5,1321019222.82,531379123.53,465590850.95
Capital Expenditure,-1016387088.04,-1388663221.99,-708425806.53,-556231971.1
End Cash Position,396123004.71,1233760637.23,654582193.32,175250659.43
Beginning Cash Position,1233760637.23,654582193.32,175250659.43,274630901.86
Effect Of Exchange Rate Changes,-199639.74,75171.08,-16524379.99,2891359.5
Changes In Cash,-837437992.78,579103272.83,495855913.88,-102271601.93
Other Cash Adjustment Inside Changein Cash,,,,-0.01
Financing Cash Flow,-154930622.6,1728269741.96,989675790.43,253927478.77
Net Other Financing Charges,-271222970.11,1008929119.82,881714840.59,-76486803.33
Cash Dividends Paid,-91088273.79,-60789056.82,-33304558.11,-13974268.85
Net Issuance Payments Of Debt,207380621.3,780129678.96,141265507.95,344388550.95
Net Long Term Debt Issuance,207380621.3,780129678.96,141265507.95,344388550.95
Long Term Debt Payments,-871477767.2,-540889543.86,-390113615.58,-121202300.0
Long Term Debt Issuance,1078858388.5,1321019222.82,531379123.53,465590850.95
Investing Cash Flow,-1151233142.36,-1386698673.24,-828491670.23,-488204841.19
Net Other Investing Changes,-4365240.0,-61845578.64,-21167564.67,-2659910.7
Net Investment Purchase And Sale,-146759999.0,63401639.0,-100000000.0,67430081.0
Sale Of Investment,3240001.0,100000000.0,0.0,67430081.0
Purchase Of Investment,-150000000.0,-36598361.0,-100000000.0,
Net PPE Purchase And Sale,-1000107903.36,-1388254733.6,-707324105.56,-552975011.49
Sale Of PPE,16279184.68,408488.39,1101700.97,3256959.61
Purchase Of PPE,-1016387088.04,-1388663221.99,-708425806.53,-556231971.1
Operating Cash Flow,468725772.18,237532204.11,334671793.68,132005760.49
Change In Working Capital,-96966844.14,-181618848.09,-141714621.61,-209633071.15
Change In Other Current Assets,-36798933.44,-30636943.53,-22488236.32,-8966826.93
Change In Payable,1054226563.39,1130247018.13,251199802.18,230911415.24
Change In Inventory,-199946304.33,-68389151.44,-158590120.35,-134473893.18
Change In Receivables,-914448169.76,-1212839771.25,-211836067.12,-297103766.28
Other Non Cash Items,118941613.72,52917492.77,62736567.26,34359172.97
Depreciation And Amortization,314343686.92,200427188.35,157572662.71,111674124.73
Amortization Cash Flow,5970807.52,5050502.82,3528654.75,2427557.46
Depreciation,308372879.4,195376685.53,154044007.96,109246567.27
Gain Loss On Investment Securities,1309189.45,61287628.01,64728603.1,-69960440.15
Gain Loss On Sale Of PPE,3718102.05,6108486.44,2701240.73,1041011.77
Net Income From Continuing Operations,91253830.66,50297834.14,159126296.39,253881970.81
Cash Flowsfromusedin Operating Activities Direct,468725772.18,237532204.11,334671793.68,132005760.49
Taxes Refund Paid Direct,148370779.09,208446132.68,222845818.45,176295306.64
Classesof Cash Payments,-5326301868.17,-4512772347.81,-3769682782.71,-3281086648.19
Other Cash Paymentsfrom Operating Activities,-228537149.76,-295566933.8,-218530464.3,-183414691.0
Paymentson Behalfof Employees,-1046813384.96,-855250779.45,-626234008.65,-673346621.57
Paymentsto Suppliersfor Goodsand Services,-4050951333.45,-3361954634.56,-2924918309.76,-2424325335.62
Classesof Cash Receiptsfrom Operating Activities,5646656861.26,4541858419.24,3881508757.94,3236797102.04
Other Cash Receiptsfrom Operating Activities,65450483.1,104909444.08,62592441.18,43275740.45
Receiptsfrom Customers,5581206378.16,4436948975.16,3818916316.76,3193521361.59
