,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,1085553508.0,1096700508.0,1060900419.0,1045521166.0
Share Issued,1085553508.0,1096700508.0,1060900419.0,1045521166.0
Total Debt,925752979.92,340165230.79,1136307940.07,713168574.94
Tangible Book Value,5565516568.49,6184012657.24,5344165183.68,4968587271.43
Invested Capital,7654586107.81,7899352681.76,7873142942.86,7052444724.48
Working Capital,3272432640.06,4123445170.76,4852370365.04,4645420448.02
Net Tangible Assets,5565516568.49,6184012657.24,5344165183.68,4968587271.43
Capital Lease Obligations,25757449.1,19757317.8,19215149.18,21925084.34
Common Stock Equity,6818402052.61,7621006322.84,6812411679.88,6405957775.7
Total Capitalization,7292221810.89,7892444894.26,7546650039.17,7038427486.28
Total Equity Gross Minority Interest,6550976237.94,7636761627.31,6926346558.85,6526098187.23
Minority Interest,-267425814.67,15755304.47,113934878.97,120140411.53
Stockholders Equity,6818402052.61,7621006322.84,6812411679.88,6405957775.7
Other Equity Interest,,,84026988.9,92115531.82
Treasury Stock,271865069.14,422859153.84,160153414.85,120591889.78
Retained Earnings,2990360059.64,3562685439.04,3106136143.71,2780380603.59
Additional Paid In Capital,2630311528.09,2987693927.46,2410156987.02,2161752284.65
Capital Stock,1085553508.0,1096700508.0,1060900419.0,1045521166.0
Common Stock,1085553508.0,1096700508.0,1060900419.0,1045521166.0
Total Liabilities Net Minority Interest,3241797219.48,2341386777.12,2854082621.2,2323689086.25
Total Non Current Liabilities Net Minority Interest,726295170.1,420569116.95,873116163.22,714384297.47
Other Non Current Liabilities,100749711.78,6056667.31,17568328.72,13068944.62
Non Current Deferred Revenue,123767667.77,114471027.21,89606167.79,45856258.35
Non Current Deferred Taxes Liabilities,2200583.17,8845533.21,12488158.24,1064299.58
Long Term Debt And Capital Lease Obligation,499577207.38,291195889.22,753453508.47,654394794.92
Long Term Capital Lease Obligation,25757449.1,19757317.8,19215149.18,21925084.34
Long Term Debt,473819758.28,271438571.42,734238359.29,632469710.58
Current Liabilities,2515502049.38,1920817660.17,1980966457.98,1609304788.78
Other Current Liabilities,92360819.12,91588942.95,83220638.05,78378516.12
Current Debt And Capital Lease Obligation,426175772.54,48969341.57,382854431.6,58773780.02
Current Debt,362364296.92,6907787.5,326492903.69,14017238.2
Payables,1873709499.09,1676165392.2,1429336063.37,1350663648.17
Other Payable,594762061.02,575853549.96,389967375.66,418608392.14
Total Tax Payable,77094638.87,103013291.87,91653962.73,112208578.01
Accounts Payable,1201852799.2,997298550.37,947714724.98,819846678.02
Total Assets,9792773457.42,9978148404.43,9780429180.05,8849787273.48
Total Non Current Assets,4004838767.98,3933885573.5,2947092357.03,2595062036.68
Other Non Current Assets,919560323.28,798855988.01,,
Non Current Deferred Assets,18488782.52,23584530.19,31528761.51,47059654.46
Non Current Deferred Taxes Assets,48937114.87,150712300.0,92858496.79,55403247.35
Investmentin Financial Assets,442333461.27,488114989.77,504591030.7,475612010.71
Available For Sale Securities,442333461.27,488114989.77,504591030.7,475612010.71
Long Term Equity Investment,248050103.21,241966457.03,222140857.7,219673216.37
Investment Properties,,,24504837.06,
Goodwill And Other Intangible Assets,1252885484.12,1436993665.6,1468246496.2,1437370504.27
Other Intangible Assets,103097492.01,116199501.87,132267335.48,101391343.55
Goodwill,1149787992.11,1320794163.73,1335979160.72,1335979160.72
Net PPE,1074583498.71,793657642.9,603221877.07,359943403.52
Accumulated Depreciation,-227382352.34,-180601257.91,-142252232.19,-116509439.59
Gross PPE,1301965851.05,974258900.81,745474109.26,476452843.11
Construction In Progress,462403958.63,225053847.43,95760283.97,220966669.3
Other Properties,612179540.08,319815806.07,247261409.1,225086161.42
Machinery Furniture Equipment,36409403.55,35099671.53,35536326.55,30400012.39
Properties,398906765.7,394289575.78,366916089.64,
Current Assets,5787934689.44,6044262830.93,6833336823.02,6254725236.8
Other Current Assets,67117329.9,46145170.25,41512731.86,35322705.8
Prepaid Assets,144351988.94,115462784.54,68339459.93,141188371.21
Inventory,91368847.87,202582646.52,275078371.02,300175654.77
Other Inventories,88206459.9,49990640.36,35010834.76,66240666.76
Finished Goods,3162387.97,21891174.92,37370099.89,13232571.74
Raw Materials,0.0,130700831.24,202697436.37,220702416.27
Other Receivables,1337554618.52,1954480609.71,2055156866.94,1732696725.98
Accounts Receivable,2220242327.35,2193639601.8,2024027458.31,2070847460.89
Allowance For Doubtful Accounts Receivable,-224549505.6,-126805986.04,-92671932.45,-78286867.56
Gross Accounts Receivable,2444791832.95,2320445587.84,2116699390.76,2149134328.45
Cash Cash Equivalents And Short Term Investments,1927299576.86,1531952018.11,2369221934.96,1974494318.15
Other Short Term Investments,,,,8000000.0
Cash And Cash Equivalents,1927299576.86,1531952018.11,2369221934.96,1966494318.15
Cash Equivalents,235859389.55,42952916.81,360027629.38,14212636.27
Cash Financial,1691440187.31,1488999101.3,2009194305.58,1952281681.88
