,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-3156056.792426,-29668878.842381,-16818063.969889,-13797943.414173
Tax Rate For Calcs,0.210435,0.224804,0.223481,0.238164
Normalized EBITDA,3185232269.53,2116367474.97,1312291228.46,1023576426.94
Total Unusual Items,-14997791.5,-131976936.54,-75254996.31,-57934524.22
Total Unusual Items Excluding Goodwill,-14997791.5,-131976936.54,-75254996.31,-57934524.22
Net Income From Continuing Operation Net Minority Interest,1583824966.89,1031227318.67,611137902.21,470951073.95
Reconciled Depreciation,975536085.12,527807036.09,353136164.77,267185746.29
Reconciled Cost Of Revenue,6809472730.06,5154296999.44,3917785154.62,3297673344.85
EBITDA,3170234478.03,1984390538.43,1237036232.15,965641902.72
EBIT,2194698392.91,1456583502.34,883900067.38,698456156.43
Net Interest Income,-209907763.81,-121441553.11,-104457733.12,-87101036.13
Interest Expense,205271659.71,125668335.42,102994707.11,98125206.6
Interest Income,42462221.49,43574620.99,13366925.91,20757843.22
Normalized Income,1595666701.597574,1133535376.367619,669574834.550111,515087654.755827
Net Income From Continuing And Discontinued Operation,1583824966.89,1031227318.67,611137902.21,470951073.95
Total Expenses,7664218803.02,5745199082.07,4439723083.21,3713982373.88
Rent Expense Supplemental,15153212.11,14152846.38,17324033.46,15590303.77
Total Operating Income As Reported,1992688645.08,1346545932.52,786565284.28,604785260.62
Diluted Average Shares,651779822.0,640513863.0,623610104.0,596140600.0
Basic Average Shares,616274306.0,603056912.0,599154806.0,588688842.0
Diluted EPS,2.43,1.61,0.98,0.79
Basic EPS,2.57,1.71,1.02,0.8
Net Income Common Stockholders,1583824966.89,1031227318.67,611137902.21,470951073.95
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1583824966.89,1031227318.67,611137902.21,470951073.95
Minority Interests,13042789.08,-493444.5,4750074.96,13597607.53
Net Income Including Noncontrolling Interests,1570782177.81,1031720763.17,606387827.25,457353466.42
Net Income Continuous Operations,1570782177.81,1031720763.17,606387827.25,457353466.42
Tax Provision,418644555.39,299194403.75,174517533.02,142977483.41
Pretax Income,1989426733.2,1330915166.92,780905360.27,600330949.83
Other Non Operating Income Expenses,-3261911.88,-15630765.6,-5659924.01,-4454310.79
Special Income Charges,32987207.76,-127159316.41,-66339902.49,-67975726.54
Other Special Charges,-6614569.32,-1885448.68,-1030365.96,274324.19
Write Off,-54279835.73,115745675.71,69964145.77,78659959.64
Impairment Of Capital Assets,27907197.29,13299089.38,-2593877.32,-10958557.29
Net Non Operating Interest Income Expense,-209907763.81,-121441553.11,-104457733.12,-87101036.13
Total Other Finance Cost,47098325.59,39347838.68,14829951.92,9733672.75
Interest Expense Non Operating,205271659.71,125668335.42,102994707.11,98125206.6
Interest Income Non Operating,42462221.49,43574620.99,13366925.91,20757843.22
Operating Income,2278187594.79,1654015414.23,915136806.76,789828237.55
Operating Expense,854746072.96,590902082.63,521937928.59,416309029.03
Other Operating Expenses,243780919.97,84339494.18,46370512.34,33200934.09
Depreciation And Amortization In Income Statement,48446758.59,40420893.74,30549182.26,25809657.91
Depreciation Income Statement,48446758.59,40420893.74,30549182.26,25809657.91
Research And Development,99766121.07,102270034.71,94166054.1,78680947.46
Selling General And Administration,128645587.66,102164966.15,95091286.02,79149123.49
Selling And Marketing Expense,8512623.09,7535668.29,6986531.2,7204084.89
General And Administrative Expense,120132964.57,94629297.86,88104754.82,71945038.6
Rent And Landing Fees,15153212.11,14152846.38,17324033.46,15590303.77
Gross Profit,3132933667.75,2244917496.86,1437074735.35,1206137266.58
Cost Of Revenue,6809472730.06,5154296999.44,3917785154.62,3297673344.85
Total Revenue,9942406397.81,7399214496.3,5354859889.97,4503810611.43
Operating Revenue,9942406397.81,7399214496.3,5354859889.97,4503810611.43
