,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-14526513.06,-206071762.11,-106479216.21,-72199720.51
Repayment Of Debt,-414412062.95,-19200000.0,-100152325.0,-75000000.0
Issuance Of Debt,155005431.0,173306178.56,143612432.99,91553900.0
Capital Expenditure,-244427721.64,-252658594.21,-162877384.4,-74179342.06
End Cash Position,162082525.73,91001251.06,186926195.32,85536297.27
Beginning Cash Position,91001251.06,186926195.32,85536297.27,10043035.74
Effect Of Exchange Rate Changes,1316936.39,556721.17,1350299.32,72384.13
Changes In Cash,69764338.28,-96481665.43,100039598.73,75420877.4
Financing Cash Flow,205642862.98,130239749.02,34405046.47,317852152.23
Net Other Financing Charges,514450012.71,-18230676.78,-7833517.22,316705632.99
Cash Dividends Paid,-49400517.78,-5635752.76,-1221544.3,-15407380.76
Net Issuance Payments Of Debt,-259406631.95,154106178.56,43460107.99,16553900.0
Net Long Term Debt Issuance,-259406631.95,154106178.56,43460107.99,16553900.0
Long Term Debt Payments,-414412062.95,-19200000.0,-100152325.0,-75000000.0
Long Term Debt Issuance,155005431.0,173306178.56,143612432.99,91553900.0
Investing Cash Flow,-365779733.28,-273308246.55,9236384.07,-244410896.38
Net Other Investing Changes,17644197.35,-20718909.85,200000.0,302792.59
Net Investment Purchase And Sale,-140430811.67,733.62,171869768.47,-170139981.1
Sale Of Investment,18687979.99,733.62,212049668.47,100160118.9
Purchase Of Investment,-159118791.66,0.0,-40179900.0,-270300100.0
Net Business Purchase And Sale,0.0,68523.89,,-394365.81
Sale Of Business,0.0,68523.89,,
Purchase Of Business,,,,-394365.81
Net PPE Purchase And Sale,-242993118.96,-252658594.21,-162833384.4,-74179342.06
Sale Of PPE,1434602.68,0.0,44000.0,
Purchase Of PPE,-244427721.64,-252658594.21,-162877384.4,-74179342.06
Operating Cash Flow,229901208.58,46586832.1,56398168.19,1979621.55
Change In Working Capital,-166509311.84,-111203585.44,-111600410.62,-129238276.15
Change In Other Current Assets,420785.44,53926.93,,
Change In Payable,106189087.24,53745299.29,39261598.85,62137221.6
Change In Inventory,-65772122.3,-42371290.22,-55068686.06,-48856003.42
Change In Receivables,-207347062.22,-122631521.44,-95793323.41,-142519494.33
Other Non Cash Items,16161180.48,13705904.89,14974098.64,14866633.36
Stock Based Compensation,,10929658.52,8927871.18,11907986.13
Provisionand Write Offof Assets,,10620.02,,
Deferred Tax,,53926.93,7449985.26,8953135.37
Depreciation And Amortization,59965452.97,41638237.4,36760670.73,24357334.15
Amortization Cash Flow,1501003.39,1012760.37,947137.73,686636.51
Depreciation,58464449.58,40625477.03,35813533.0,23670697.64
Gain Loss On Investment Securities,-438612.18,,-1359191.02,-372508.94
Net Foreign Currency Exchange Gain Loss,,-556721.17,1923800.68,-404183.82
Gain Loss On Sale Of PPE,-336974.69,492691.94,-204023.07,269875.47
Net Income From Continuing Operations,310974768.28,81860699.47,93236206.99,67088782.76
Cash Flowsfromusedin Operating Activities Direct,229901208.58,46586832.1,56398168.19,1979621.55
Taxes Refund Paid Direct,-42593427.69,-9355666.48,-9409262.48,-6901314.84
Classesof Cash Payments,-521391881.12,-358399304.42,-330319723.59,-221721670.86
Other Cash Paymentsfrom Operating Activities,-80476340.54,-81041130.62,-66428327.7,-37978135.47
Paymentson Behalfof Employees,-185385373.38,-146596144.04,-131800914.56,-86432295.83
Paymentsto Suppliersfor Goodsand Services,-255530167.2,-130762029.76,-132090481.33,-97311239.56
Classesof Cash Receiptsfrom Operating Activities,793886517.39,414341803.0,396127154.26,230602607.25
Other Cash Receiptsfrom Operating Activities,53078126.81,21611771.89,58044008.96,14268127.77
Receiptsfrom Customers,740808390.58,392730031.11,338083145.3,216334479.48
