,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-11920021.616477,-2589102.96893,-24995347.904659,-6560511.322491
Tax Rate For Calcs,0.077672,0.073035,0.133094,0.100546
Normalized EBITDA,1048741070.95,1467919331.12,1577036500.03,1157986800.06
Total Unusual Items,-153466588.1,-35449932.04,-187802014.68,-65248699.3
Total Unusual Items Excluding Goodwill,-153466588.1,-35449932.04,-187802014.68,-65248699.3
Net Income From Continuing Operation Net Minority Interest,246278008.96,763011988.95,721333576.44,626658928.89
Reconciled Depreciation,449833286.85,450091815.82,412060343.8,306291152.37
Reconciled Cost Of Revenue,2222991171.23,2475900083.24,3061269275.72,2768230868.38
EBITDA,895274482.85,1432469399.08,1389234485.35,1092738100.76
EBIT,445441196.0,982377583.26,977174141.55,786446948.39
Net Interest Income,-16940978.07,-12680110.45,-20505373.21,-15524248.27
Interest Expense,29929602.72,31240712.73,26478691.77,19245327.52
Interest Income,15319689.4,22611821.5,10956578.79,6338301.75
Normalized Income,387824575.443523,795872818.02107,884140243.215341,685347116.867509
Net Income From Continuing And Discontinued Operation,246278008.96,763011988.95,721333576.44,626658928.89
Total Expenses,3146296142.71,3336705589.92,3992609918.61,3493071167.66
Rent Expense Supplemental,10501407.99,5788114.51,12474800.83,12303550.83
Total Operating Income As Reported,399293445.55,945359298.76,973258550.43,768826304.72
Diluted Average Shares,947223111.0,908347606.0,913080477.0,908201346.0
Basic Average Shares,947223111.0,908347606.0,913080477.0,908201346.0
Diluted EPS,0.26,0.84,0.79,0.69
Basic EPS,0.26,0.84,0.79,0.69
Net Income Common Stockholders,246278008.96,763011988.95,721333576.44,626658928.89
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,246278008.96,763011988.95,721333576.44,626658928.89
Minority Interests,-136960063.19,-118658139.23,-102829878.68,-63403454.35
Net Income Including Noncontrolling Interests,383238072.15,881670128.18,824163455.12,690062383.24
Net Income Continuous Operations,383238072.15,881670128.18,824163455.12,690062383.24
Tax Provision,32273521.13,69466742.35,126531994.66,77139237.63
Pretax Income,415511593.28,951136870.53,950695449.78,767201620.87
Other Non Operating Income Expenses,16218147.73,5777571.77,-22563100.65,-1624683.85
Special Income Charges,-153546061.84,-35928158.88,-187884431.99,-66762983.33
Other Special Charges,-150041.95,-85947.4,-287267.29,-498933.32
Write Off,8649655.18,-15632251.78,25068208.96,5347651.32
Impairment Of Capital Assets,145046448.61,51646358.06,163103490.32,61914265.33
Net Non Operating Interest Income Expense,-16940978.07,-12680110.45,-20505373.21,-15524248.27
Total Other Finance Cost,2331064.75,4051219.22,4983260.23,2617222.5
Interest Expense Non Operating,29929602.72,31240712.73,26478691.77,19245327.52
Interest Income Non Operating,15319689.4,22611821.5,10956578.79,6338301.75
Operating Income,546962987.72,968614546.08,1087852047.73,865451682.04
Operating Expense,923304971.48,860805506.68,931340642.89,724840299.28
Other Operating Expenses,55932949.76,55575146.18,33480963.45,36622022.69
Depreciation And Amortization In Income Statement,66583698.3,58256264.64,74137250.05,48091802.52
Amortization,20911897.24,22036952.24,20312072.9,17402421.36
Depreciation Income Statement,45671801.06,36219312.4,53825177.15,30689381.16
Research And Development,423103891.43,364715571.42,357519481.07,295321547.27
Selling General And Administration,117689569.81,143279968.86,159087643.27,117871779.73
Selling And Marketing Expense,41117291.14,42764618.68,36240570.28,38048133.8
General And Administrative Expense,76572278.67,100515350.18,122847072.99,79823645.93
Rent And Landing Fees,10501407.99,5788114.51,12474800.83,12303550.83
Gross Profit,1470267959.2,1829420052.76,2019192690.62,1590291981.32
Cost Of Revenue,2222991171.23,2475900083.24,3061269275.72,2768230868.38
Total Revenue,3693259130.43,4305320136.0,5080461966.34,4358522849.7
Operating Revenue,3693259130.43,4305320136.0,5080461966.34,4358522849.7
